# TYPE: CAPACITY
ITEMS        SIZE         SUM          AVERAGE      RANGE                           
        64       262144   11.834µs     187ns        0..63                           
        64       262144   12.625µs     200ns        Rev { iter: 0..63 }             
        64       262144   1.625µs      162ns        26..36                          
        64       262144   2µs          200ns        Rev { iter: 26..36 }            

        64      1048576   10.458µs     166ns        0..63                           
        64      1048576   9.292µs      147ns        Rev { iter: 0..63 }             
        64      1048576   1.542µs      154ns        26..36                          
        64      1048576   1.542µs      154ns        Rev { iter: 26..36 }            

        64      2097152   9.584µs      152ns        0..63                           
        64      2097152   9.709µs      154ns        Rev { iter: 0..63 }             
        64      2097152   1.584µs      158ns        26..36                          
        64      2097152   1.583µs      158ns        Rev { iter: 26..36 }            

        64      4194304   9.458µs      150ns        0..63                           
        64      4194304   9.083µs      144ns        Rev { iter: 0..63 }             
        64      4194304   1.542µs      154ns        26..36                          
        64      4194304   1.5µs        150ns        Rev { iter: 26..36 }            

        64      8388608   9.041µs      143ns        0..63                           
        64      8388608   9.166µs      145ns        Rev { iter: 0..63 }             
        64      8388608   1.833µs      183ns        26..36                          
        64      8388608   1.541µs      154ns        Rev { iter: 26..36 }            


# TYPE: SIZE
ITEMS        SIZE         SUM          AVERAGE      RANGE                           
        64       262144   9.625µs      152ns        0..63                           
        64       262144   9.208µs      146ns        Rev { iter: 0..63 }             
        64       262144   1.542µs      154ns        26..36                          
        64       262144   1.541µs      154ns        Rev { iter: 26..36 }            

        64      1048576   16.625µs     263ns        0..63                           
        64      1048576   9µs          142ns        Rev { iter: 0..63 }             
        64      1048576   1.5µs        150ns        26..36                          
        64      1048576   1.541µs      154ns        Rev { iter: 26..36 }            

        64      2097152   9.209µs      146ns        0..63                           
        64      2097152   8.959µs      142ns        Rev { iter: 0..63 }             
        64      2097152   1.542µs      154ns        26..36                          
        64      2097152   1.458µs      145ns        Rev { iter: 26..36 }            

        64      4194304   9.125µs      144ns        0..63                           
        64      4194304   8.958µs      142ns        Rev { iter: 0..63 }             
        64      4194304   1.583µs      158ns        26..36                          
        64      4194304   1.625µs      162ns        Rev { iter: 26..36 }            

        64      8388608   9.583µs      152ns        0..63                           
        64      8388608   9.166µs      145ns        Rev { iter: 0..63 }             
        64      8388608   2.375µs      237ns        26..36                          
        64      8388608   1.625µs      162ns        Rev { iter: 26..36 }            
