# TYPE: CAPACITY
ITEMS        SIZE         SUM          AVERAGE      RANGE                           
        64       262144   9.625µs      152ns        0..63                           
        64       262144   7.923µs      125ns        Rev { iter: 0..63 }             
        64       262144   1.953µs      195ns        26..36                          
        64       262144   1.606µs      160ns        Rev { iter: 26..36 }            

        64      1048576   8.134µs      129ns        0..63                           
        64      1048576   7.949µs      126ns        Rev { iter: 0..63 }             
        64      1048576   1.947µs      194ns        26..36                          
        64      1048576   1.819µs      181ns        Rev { iter: 26..36 }            

        64      2097152   8.078µs      128ns        0..63                           
        64      2097152   8.163µs      129ns        Rev { iter: 0..63 }             
        64      2097152   1.918µs      191ns        26..36                          
        64      2097152   1.731µs      173ns        Rev { iter: 26..36 }            

        64      4194304   8.389µs      133ns        0..63                           
        64      4194304   8.028µs      127ns        Rev { iter: 0..63 }             
        64      4194304   2.268µs      226ns        26..36                          
        64      4194304   2.018µs      201ns        Rev { iter: 26..36 }            

        64      8388608   8.978µs      142ns        0..63                           
        64      8388608   8.025µs      127ns        Rev { iter: 0..63 }             
        64      8388608   2.027µs      202ns        26..36                          
        64      8388608   1.943µs      194ns        Rev { iter: 26..36 }            


# TYPE: SIZE
ITEMS        SIZE         SUM          AVERAGE      RANGE                           
        64       262144   8.214µs      130ns        0..63                           
        64       262144   7.972µs      126ns        Rev { iter: 0..63 }             
        64       262144   1.842µs      184ns        26..36                          
        64       262144   1.684µs      168ns        Rev { iter: 26..36 }            

        64      1048576   8.221µs      130ns        0..63                           
        64      1048576   8.401µs      133ns        Rev { iter: 0..63 }             
        64      1048576   2.303µs      230ns        26..36                          
        64      1048576   2.633µs      263ns        Rev { iter: 26..36 }            

        64      2097152   8.152µs      129ns        0..63                           
        64      2097152   8.28µs       131ns        Rev { iter: 0..63 }             
        64      2097152   2.032µs      203ns        26..36                          
        64      2097152   2.381µs      238ns        Rev { iter: 26..36 }            

        64      4194304   8.708µs      138ns        0..63                           
        64      4194304   8.372µs      132ns        Rev { iter: 0..63 }             
        64      4194304   2.174µs      217ns        26..36                          
        64      4194304   1.98µs       198ns        Rev { iter: 26..36 }            

        64      8388608   9.038µs      143ns        0..63                           
        64      8388608   8.612µs      136ns        Rev { iter: 0..63 }             
        64      8388608   2.702µs      270ns        26..36                          
        64      8388608   2.037µs      203ns        Rev { iter: 26..36 }            
